model,precision,recall,f1,mAP50,mAP75,mAP50-95,params_M,checkpoint_MB,mean_ms,p95_ms,fps,peak_cuda_allocated_MB
yolo26n,0.6067267817195019,0.51766878349718,0.5586708534329139,0.5256545885941004,0.4541236564422304,0.4015311759662131,2.50692,5.142704963684082,10.568467339992369,11.231367999698705,94.62109952460924,156.119140625
yolo26s,0.7851578001865445,0.5191314089281178,0.6250148696981356,0.5334504645468303,0.4481063397308884,0.4018145563507255,9.954056,19.380925178527832,10.838561120049237,11.552871000276356,92.26316933805856,376.14599609375
yolo26m,0.6239399310715272,0.5414505654130276,0.5797758424863237,0.5349884122269851,0.4489004546008296,0.4012912903347521,21.785224,42.00277042388916,25.94337094002185,26.36325400089845,38.54549211480217,728.287109375
rtdetr-l,0.7313048083884636,0.5662890715095243,0.6383043683364337,0.5632326271674106,0.4960558726582557,0.4376091391436802,32.822516,63.1764497756958,47.4090953601808,49.19621299995924,21.09299897841768,1033.5009765625
